frameNumber,angle,numObj
59,31.978964106629988,3
67,149.3216514046577,2
85,152.13072068221456,2
86,152.28174337259526,2
22,162.83196483131863,2
62,148.54986793159918,2
65,149.0162350532403,2
68,149.47094545209305,1
69,149.61689526701795,1
70,149.76652189647382,1
71,149.91301035987823,1
66,149.17070295189265,1
74,150.38652673199414,1
75,150.53644548710287,1
79,151.1589097106889,1
80,151.33140478922866,1
81,151.49027422162882,1
82,151.64614326973043,1
64,148.85990534987369,1
72,150.07742475219098,1
1,0.0926207735873642,1
83,151.80822009470307,1
99,154.22251652375832,1
120,156.26610497292145,1
119,156.19479804381243,1
118,156.11847326740286,1
117,156.04361454847262,1
112,155.63066080662912,1
108,155.25599585065217,1
98,154.0938829361135,1
90,152.91613224352392,1
97,153.9699557595624,1
96,153.83488501649245,1
95,153.68631629960038,1
94,153.54270848062123,1
92,153.2602533167659,1
91,153.09643002897218,1
84,151.96363104152584,1
93,153.39939073209436,1
4,0.094680254883917,1
3,0.094043608289766,1
40,171.2361311676627,0
140,157.33036031471732,0
134,157.07242127934092,0
135,157.1150377178351,0
136,157.15945994780012,0
137,157.20454079513024,0
138,157.24924887214993,0
139,157.29140160913272,0
142,157.39816605725372,0
141,157.36457391582246,0
132,156.98118083464374,0
143,157.42780950317533,0
144,157.4582114305704,0
145,157.48619042896212,0
146,157.51518267927062,0
147,157.54100493027923,0
133,157.0297215524279,0
131,156.93397316816836,0
113,155.72191652374346,0
130,156.88327195701928,0
129,156.82533448137474,0
128,156.7720414090323,0
127,156.71290435872714,0
126,156.6543364583545,0
125,156.59259316245007,0
124,156.53080967290992,0
123,156.469076622747,0
122,156.40246532212424,0
121,156.3387678506148,0
5,0.0953311912908283,0
6,-15.755402022539515,0
116,155.96337462039546,0
115,155.88382017883382,0
148,157.5689461872279,0
149,157.59522023765334,0
150,157.61967704564017,0
176,158.0349664894073,0
170,157.97159519017595,0
171,157.98252593807928,0
172,157.99460031118107,0
173,158.00529441542272,0
174,158.01584300558866,0
175,158.02579131322236,0
177,158.04447675106655,0
168,157.9457729791571,0
178,158.05331430472705,0
179,158.06091523901654,0
180,158.06815265264865,0
181,158.07542084551287,0
182,158.0820049570648,0
183,158.08886470044334,0
169,157.95910486855337,0
167,157.93275581300213,0
151,157.64291967172454,0
158,157.7924799589219,0
152,157.66727690765788,0
153,157.69018095162863,0
154,157.71174239027764,0
155,157.73408814997055,0
156,157.75399271219618,0
157,157.77310964006148,0
159,157.81159785618172,0
166,157.9198331563449,0
160,157.8292592068232,0
161,157.84536262067945,0
162,157.86037969891763,0
163,157.8770114467181,0
164,157.8911418458731,0
165,157.9052726428682,0
114,155.80423164492964,0
7,-61.95143050801445,0
41,171.46649620762494,0
111,155.542387408403,0
60,148.10406606922012,0
61,148.39596332732714,0
38,170.74203410761092,0
63,148.70509391828256,0
37,170.50936807631686,0
36,170.26735593717254,0
35,170.02502234659957,0
34,169.78288423293637,0
33,169.54140975274976,0
32,169.29961015303468,0
31,169.0558665750993,0
30,168.81064807470395,0
29,168.5643968846815,0
73,150.23704496707128,0
28,168.32700876625577,0
39,170.99009346570438,0
58,5.867622307281743,0
57,5.518158815881109,0
48,170.1043714571329,0
42,171.7022293754448,0
43,171.932408338984,0
44,170.08935756224616,0
45,170.3568923236984,0
46,171.2125241911415,0
47,169.8512398750944,0
49,170.34922713731044,0
56,19.62970824216103,0
50,170.61409111798463,0
51,170.8720835655519,0
52,171.11316571309862,0
53,171.3449241534592,0
54,171.55512026002285,0
55,121.10089661484392,0
27,168.0912042222047,0
76,150.6850107727618,0
77,150.8340701689123,0
103,154.71547717502432,0
11,175.3188858288099,0
10,175.31854204467413,0
9,-163.44455155021674,0
100,154.35222013648638,0
101,154.48258044222317,0
102,154.60209355879658,0
104,154.83749963175973,0
13,175.31955996070292,0
105,154.94284882487275,0
106,155.05138622667903,0
107,155.15412486969808,0
8,-113.4659150837543,0
109,155.35802036958015,0
110,155.45008761344482,0
12,175.3192273084873,0
14,175.31989214688235,0
78,150.99973619105774,0
19,165.9428309270186,0
26,163.2960516168193,0
25,163.16913625566423,0
24,163.0522439641858,0
23,162.9434606250462,0
21,162.72444221230606,0
20,162.61825309584407,0
18,175.32129281163938,0
2,0.0934070853072441,0
87,152.44060442968012,0
88,152.59973800449174,0
89,152.7609286393248,0
17,175.32094214979108,0
16,175.32059517035134,0
15,175.3202399007773,0
184,158.09498510504636,0
