frameNumber,x,y
1,0.0564144544633608,0.0580604664669539
4,0.0564156310639832,0.0580617172266324
6,0.056416966703973,0.0580641109167233
7,0.0564174468324483,0.0580647760396672
8,0.0565100484555477,0.0580714243350018
9,0.0568111078818319,0.058220849204781
11,0.0577240880968778,0.0587774752304577
12,0.0593793330203266,0.0598544279341654
14,0.060729338733493,0.0607525375354525
15,0.0622020190187307,0.0617445488124172
16,0.0637337831179556,0.0627896278110974
17,0.0656397436638692,0.0641133910836782
18,0.0663770511896224,0.0646346614507286
19,0.0677743052323863,0.0656424045587731
20,0.0687329862030511,0.0663549200711877
22,0.0698620982218432,0.0672293975517851
23,0.0707933469677962,0.0680013686008908
24,0.0716463380957178,0.068802775832861
25,0.072131569099625,0.0694090726498576
26,0.0721837099971182,0.0695063994696101
27,0.0722440018354276,0.0698164604357889
28,0.0719966072286021,0.0700311713562256
29,0.0719062169625961,0.0700521618044235
30,0.0712658003323466,0.0700557990950739
31,0.0709282154087537,0.0700134199244182
32,0.0705487288805452,0.0699484361207131
33,0.0696774978292697,0.0697577665048116
34,0.0686800702818816,0.0694985731483439
36,0.0672997631612051,0.0691014096938937
37,0.0655206148682505,0.0685559218458695
39,0.0643015580718043,0.0681722159525646
40,0.0630837392400837,0.0677868364082009
41,0.0618873347945315,0.0674101979112028
42,0.0607289856558005,0.067050803709522
43,0.0601682591096187,0.0668796802091274
44,0.0593538390800895,0.066635498831177
45,0.0578314406035586,0.0661971072041499
46,0.0575922394574594,0.0661308411745067
47,0.0568999378718548,0.0659437916582333
48,0.0560350461660419,0.0657211450598503
49,0.0552334205173114,0.0655270607197209
50,0.0544893687373457,0.0653582184275005
51,0.0539646499094977,0.065245624929045
52,0.0537953847206818,0.0652103739496876
53,0.0531427041998391,0.0650786583624201
54,0.0523704827437842,0.0649287662030165
55,0.0516292120048811,0.0647857486623813
56,0.0514830731653088,0.0647571083974643
57,0.051046444162994,0.0646698060756969
58,0.0504638559287419,0.0645477392296949
59,0.0497253258725109,0.0643809691169523
60,0.0492725748526022,0.0642711760564922
61,0.0489656358903118,0.0641933642496465
62,0.048496661836864,0.0640692656270001
63,0.0478542448938484,0.0638894852866177
64,0.0475255144465708,0.0637933898888868
65,0.0468533411350838,0.0635890316977371
66,0.0459878316510666,0.0633121296144203
67,0.0454571337108223,0.0631357420958732
68,0.0452786740959266,0.063075428334057
69,0.0445588091353267,0.0628275694407907
70,0.0436509594360202,0.0625059450561217
71,0.0429244149677633,0.062242583134034
72,0.0425628430011708,0.0621098603823942
73,0.0420244264704332,0.0619104660848442
74,0.0411427354984829,0.0615801308943273
75,0.0409694072510065,0.0615147220330122
76,0.0401214617003515,0.0611929603871608
78,0.0394689666680617,0.0609437677258617
79,0.0388427405085765,0.0607036862886266
80,0.0381001945919831,0.0604182391109629
81,0.0378162642714,0.0603089467763824
82,0.0372713139747533,0.0600990346690208
83,0.0368826663072764,0.0599492321242977
84,0.0362724414265809,0.0597138162925188
85,0.0362724414265809,0.0597138162925188
86,0.0355991355226496,0.0594534597998834
87,0.0352848943781705,0.0593315135879724
88,0.0351832496002104,0.0592919778028982
89,0.0347912127651454,0.059138923205147
90,0.0342425628771987,0.0589225302055046
91,0.0340687935318917,0.0588532460590553
92,0.0339833232132288,0.0588190086154824
93,0.0335679967513201,0.058650933128595
94,0.0330932924872489,0.0584542848510132
95,0.0330932924872489,0.0584542848510132
96,0.0327912995896337,0.0583253822043929
97,0.0325021140563455,0.0581977734927529
98,0.0322272647501651,0.05807113938627
99,0.0320315438407904,0.0579766540154636
100,0.0319684254172392,0.0579452371808846
101,0.0317271900660726,0.0578199175559056
102,0.0314523787584805,0.0576640298523555
103,0.0312087485022705,0.0575091389824494
104,0.031163819738261,0.0574783108048195
105,0.0309966571556933,0.057355633037867
106,0.0309204711616537,0.0572947437277598
107,0.0308490611444584,0.0572342118635501
108,0.0307199188759566,0.0571144101032614
109,0.0305820078677969,0.056967538853555
110,0.0304665889624298,0.0568246056986242
111,0.030445820664982,0.0567965591165663
112,0.030369233172621,0.0566863627729848
113,0.0303012240459239,0.0565795943964469
114,0.0303012240459239,0.0565795943964469
115,0.0302247087054619,0.0564513753426409
116,0.0301398008187441,0.0563057156022337
117,0.0301398008187441,0.0563057156022337
118,0.0300844822633139,0.0562137648092968
119,0.0300142172143905,0.0561046806809662
120,0.0299853318329134,0.056062852565484
121,0.0299558565788072,0.0560220395474612
122,0.0298949043476882,0.0559433923929594
123,0.0298311247145963,0.0558685772484801
124,0.0297646285416599,0.055797392613682
125,0.0297132167666727,0.0557462488510825
